id,name,origin,note,backorder_id,move_type,state,group_id,priority,scheduled_date,date,date_done,location_id,location_dest_id,picking_type_id,partner_id,company_id,owner_id,printed,is_locked,message_last_post,activity_date_deadline,create_uid,create_date,write_uid,write_date,sale_id
18,DN_ATC180500017,ATC180521-001,,,direct,assigned,17,1,2018-05-31 02:24:37,2018-05-31 02:24:37,,13,9,3,262,1,,f,t,,,1,2018-05-31 02:24:37.248006,1,2018-05-31 02:24:54.922475,44
92,DN_ATC180900012,ATC180816-003,,,direct,assigned,90,1,2018-09-19 09:17:31,2018-09-19 09:17:31,,13,9,3,410,1,,f,t,,,1,2018-09-19 09:17:31.143216,1,2018-09-19 09:17:38.906313,219
10,DN_ATC180500009,ATC180516-001,,,direct,assigned,9,1,2018-05-21 02:49:50,2018-05-21 02:49:51,,13,9,3,244,1,,f,t,,,1,2018-05-21 02:49:50.742711,1,2018-05-21 02:50:05.696868,39
15,DN_ATC180500014,ATC180514-002,,,direct,assigned,14,1,2018-05-28 03:12:06,2018-05-28 03:12:06,,13,9,3,239,1,,f,t,,,1,2018-05-28 03:12:05.965377,1,2018-05-28 03:12:15.568982,34
12,DN_ATC180500011,ATC180518-001,,,direct,assigned,11,1,2018-05-23 02:15:11,2018-05-23 02:15:11,,13,9,3,47,1,,f,t,,,1,2018-05-23 02:15:11.191164,1,2018-05-23 02:15:11.191164,41
35,DN_ATC180600017,ATC180612-002,,,direct,assigned,34,1,2018-06-19 05:06:50,2018-06-19 05:06:50,,13,9,3,22,1,,f,t,,,1,2018-06-19 05:06:50.11052,1,2018-06-19 05:06:50.11052,78
43,DN_ATC180700001,ATC180629-001,,,direct,assigned,42,1,2018-07-06 01:43:27,2018-07-06 01:43:27,,13,9,3,320,1,,f,t,,,1,2018-07-06 01:43:27.032113,1,2018-07-06 01:43:27.032113,111
20,DN_ATC180600002,ATC180601-002,,,direct,assigned,19,1,2018-06-04 04:38:31,2018-06-04 04:38:32,,13,9,3,47,1,,f,t,,,1,2018-06-04 04:38:31.929869,1,2018-06-04 04:38:31.929869,67
5,DN_ATC180500004,ATC180504-001,,,direct,assigned,5,1,2018-05-10 02:43:23,2018-05-10 02:43:23,,13,9,3,223,1,,f,t,,,1,2018-05-10 02:43:23.381877,1,2018-05-10 02:43:23.381877,14
26,DN_ATC180600008,ATC180521-002,,,direct,assigned,25,1,2018-06-06 04:13:38,2018-06-06 04:13:39,,13,9,3,264,1,,f,t,,,1,2018-06-06 04:13:38.723553,1,2018-06-06 04:13:38.723553,45
30,DN_ATC180600012,ATC180604-003,,,direct,assigned,29,1,2018-06-11 03:05:39,2018-06-11 03:05:40,,13,9,3,80,1,,f,t,,,1,2018-06-11 03:05:39.936086,1,2018-06-11 03:05:39.936086,70
3,DN_ATC180500002,ATC180508-001,,,direct,cancel,4,1,2018-05-08 06:57:12,2018-05-08 06:57:13,,13,9,3,229,1,,f,t,,,1,2018-05-08 06:57:12.868733,1,2018-05-08 06:57:22.79394,19
8,DN_ATC180500007,ATC180515-001,,,direct,cancel,8,1,2018-05-18 07:41:56,2018-05-18 07:41:56,,13,9,3,250,1,,f,t,,,1,2018-05-18 07:41:56.493384,1,2018-05-18 07:42:03.608191,36
1,DN_ATC180300001,ATC180312-001,,,direct,cancel,1,1,2018-03-12 09:52:45,2018-03-12 09:52:45,,13,9,3,22,1,,f,t,,,1,2018-03-12 09:52:45.698352,1,2018-05-02 04:42:35.992228,
46,DN_ATC180700004,ATC180705-002,,,direct,assigned,45,1,2018-07-09 04:10:21,2018-07-09 04:10:21,,13,9,3,194,1,,f,t,,,1,2018-07-09 04:10:20.996409,1,2018-07-09 04:10:20.996409,120
